date,value
1996-10-01,3741611.8642966114
1996-11-01,3749095.0880252044
1996-12-01,3776463.4821677883
1997-01-01,3843306.885802158
1997-02-01,3859833.1054111077
1997-03-01,3904221.1861233353
1997-04-01,3930769.890188974
1997-05-01,3939024.506958371
1997-06-01,3968173.288309863
1997-07-01,3971744.6442693416
1997-08-01,3975319.214449184
1997-09-01,3994400.74667854
1997-10-01,4009180.029441251
1997-11-01,4034838.7816296746
1997-12-01,4068731.427395364
1998-01-01,4107791.2490983596
1998-02-01,4115185.2733467366
1998-03-01,4123004.1253660955
1998-04-01,4128364.0307290712
1998-05-01,4134143.740372092
1998-06-01,4149853.486585506
1998-07-01,4142798.735658311
1998-08-01,4136170.257681257
1998-09-01,4132861.3214751123
1998-10-01,4136167.610532292
1998-11-01,4122931.874178589
1998-12-01,4141485.067612393
1999-01-01,4176273.542180337
1999-02-01,4327037.017053047
1999-03-01,4449492.164635648
1999-04-01,4481083.559004561
1999-05-01,4468088.4166834485
1999-06-01,4484173.534983508
1999-07-01,4553678.224775753
1999-08-01,4624715.605082255
1999-09-01,4691773.981355947
1999-10-01,4771534.139038999
1999-11-01,4885573.804962031
1999-12-01,4974002.690831843
2000-01-01,5035680.324198158
2000-02-01,5053305.205332852
2000-03-01,5060885.163140851
2000-04-01,5072525.199016075
2000-05-01,5088250.027133024
2000-06-01,5131500.152363655
2000-07-01,5212064.704755764
2000-08-01,5336633.051199428
2000-09-01,5398537.994593341
2000-10-01,5419052.438972795
2000-11-01,5434767.691045817
2000-12-01,5469006.727499405
2001-01-01,5502914.569209902
2001-02-01,5515571.272719084
2001-03-01,5546458.471846311
2001-04-01,5601923.056564774
2001-05-01,5650099.594851231
2001-06-01,5705470.5708807735
2001-07-01,5789911.535329809
2001-08-01,5869812.31451736
2001-09-01,5888008.732692365
2001-10-01,5957487.235738134
2001-11-01,6023019.5953312535
2001-12-01,6036270.238440982
2002-01-01,6058000.81129937
2002-02-01,6061635.611786149
2002-03-01,6067091.083836757
2002-04-01,6101066.793906243
2002-05-01,6151705.648295664
2002-06-01,6246441.915279418
2002-07-01,6368247.5326273665
2002-08-01,6515990.875384321
2002-09-01,6672374.656393545
2002-10-01,6930595.555595975
2002-11-01,7290293.464931406
2002-12-01,7563679.469866334
2003-01-01,7739913.20151422
2003-02-01,7916383.222508744
2003-03-01,8037503.885813128
2003-04-01,8111448.921562608
2003-05-01,8090359.154366545
2003-06-01,8009455.56282288
2003-07-01,7975815.849459024
2003-08-01,8006123.949686969
2003-09-01,8100596.212293275
2003-10-01,8131378.477899989
2003-11-01,8171222.232441699
2003-12-01,8221066.688059594
2004-01-01,8293412.074914518
2004-02-01,8350636.618231428
2004-03-01,8444998.812017443
2004-04-01,8547183.297642855
2004-05-01,8659151.398841975
2004-06-01,8778647.688145995
2004-07-01,8893647.972860707
2004-08-01,9002150.478129609
2004-09-01,9064265.316428702
2004-10-01,9099615.951162774
2004-11-01,9174232.801962309
2004-12-01,9242122.12469683
2005-01-01,9278166.400983147
2005-02-01,9306000.900186097
2005-03-01,9385101.90783768
2005-04-01,9465813.784245083
2005-05-01,9444988.993919743
2005-06-01,9403431.042346498
2005-07-01,9371459.376802519
2005-08-01,9310544.890853303
2005-09-01,9261199.00293178
2005-10-01,9316766.19694937
2005-11-01,9354033.261737168
2005-12-01,9353097.858410995
2006-01-01,9439146.358708376
2006-02-01,9440090.273344247
2006-03-01,9418378.065715555
2006-04-01,9378820.87783955
2006-05-01,9414460.39717534
2006-06-01,9485068.850154154
2006-07-01,9502141.974084433
2006-08-01,9537299.899388544
2006-09-01,9564958.069096772
2006-10-01,9609913.372021526
2006-11-01,9681987.722311689
2006-12-01,9712970.083023084
2007-01-01,9761534.9334382
2007-02-01,9787891.077758484
2007-03-01,9821169.907422863
2007-04-01,9825098.375385832
2007-05-01,9829028.414735986
2007-06-01,9854583.888614299
2007-07-01,9882176.72350242
2007-08-01,9979022.055392744
2007-09-01,10107751.43990731
2007-10-01,10213882.830026336
2007-11-01,10284358.621553518
2007-12-01,10465363.33329286
2008-01-01,10579435.793625752
2008-02-01,10635506.80333197
2008-03-01,10714209.553676626
2008-04-01,10788137.599596994
2008-05-01,10961826.614950506
2008-06-01,11178870.781926526
2008-07-01,11375618.907688433
2008-08-01,11339216.92718383
2008-09-01,11351690.065803733
2008-10-01,11462936.62844861
2008-11-01,11506495.787636712
2008-12-01,11491537.343112785
2009-01-01,11440974.578803089
2009-02-01,11470721.112707976
2009-03-01,11385837.776473938
2009-04-01,11368759.019809227
2009-05-01,11360800.888495361
2009-06-01,11349440.087606866
2009-07-01,11300637.495230155
2009-08-01,11259955.200247327
2009-09-01,11307247.012088366
2009-10-01,11312900.63559441
2009-11-01,11324213.536230005
2009-12-01,11294770.581035806
2010-01-01,11365927.635696333
2010-02-01,11500045.58179755
2010-03-01,11608146.010266446
2010-04-01,11697528.734545497
2010-05-01,11836729.32648659
2010-06-01,11937341.525761725
2010-07-01,11955247.538050368
2010-08-01,12047302.944093356
2010-09-01,12185846.927950429
2010-10-01,12308923.981922729
2010-11-01,12487403.379660608
2010-12-01,12573566.462980267
2011-01-01,12672897.63803781
2011-02-01,12799626.614418188
2011-03-01,12878984.299427582
2011-04-01,12936939.728775006
2011-05-01,12992568.569608737
2011-06-01,12969181.946183441
2011-07-01,12953618.927848022
2011-08-01,13010614.851130553
2011-09-01,13095183.847662902
2011-10-01,13164588.322055515
2011-11-01,13230411.263665793
2011-12-01,13214534.770149393
2012-01-01,13247571.107074767
2012-02-01,13239622.564410523
2012-03-01,13296552.941437488
2012-04-01,13409573.641439706
2012-05-01,13546351.29258239
2012-06-01,13635757.211113434
2012-07-01,13818476.357742354
2012-08-01,14016080.56965807
2012-09-01,14152036.551183755
2012-10-01,14154866.95849399
2012-11-01,14150620.498406442
2012-12-01,14246844.717795607
2013-01-01,14295283.989836112
2013-02-01,14336740.313406637
2013-03-01,14366847.46806479
2013-04-01,14388397.739266887
2013-05-01,14388397.739266887
2013-06-01,14496310.722311389
2013-07-01,14534001.130189398
2013-08-01,14555802.131884683
2013-09-01,14774139.163862953
2013-10-01,14901196.760672174
2013-11-01,14944410.231278123
2013-12-01,15034076.692665793
2014-01-01,15106240.260790588
2014-02-01,15163643.973781593
2014-03-01,15416876.828143746
2014-04-01,15537128.467403267
2014-05-01,15516930.200395642
2014-06-01,15402104.916912714
2014-07-01,15308152.076919546
2014-08-01,15266820.066311864
2014-09-01,15297353.706444487
2014-10-01,15340186.296822533
2014-11-01,15490520.122531394
2014-12-01,15586561.347291088
2015-01-01,15705019.2135305
2015-02-01,15747422.765407031
2015-03-01,15901747.508508021
2015-04-01,16087797.954357564
2015-05-01,16153757.925970431
2015-06-01,16261988.104074433
2015-07-01,16374195.821992546
2015-08-01,16420043.570294125
2015-09-01,16576033.98421192
2015-10-01,16889321.026513524
2015-11-01,17146038.70611653
2015-12-01,17230054.2957765
2016-01-01,17426476.914748352
2016-02-01,17651278.466948606
2016-03-01,17741299.987130046
2016-04-01,17799846.277087573
2016-05-01,17945805.016559694
2016-06-01,18249089.121339552
2016-07-01,18281937.48175796
2016-08-01,18309360.3879806
2016-09-01,18345979.10875656
2016-10-01,18375332.67533057
2016-11-01,18369820.075527973
2016-12-01,18469017.103935823
2017-01-01,18587218.813401014
2017-02-01,18602088.588451732
2017-03-01,18603948.79731058
2017-04-01,18399305.360540163
2017-05-01,18228191.820687138
2017-06-01,18106062.935488533
2017-07-01,17975699.282353017
2017-08-01,17993674.98163537
2017-09-01,18078245.254049055
2017-10-01,18114401.744557153
2017-11-01,18208596.633628853
2017-12-01,18370653.14366815
2018-01-01,18510270.107560027
2018-02-01,18523227.29663532
2018-03-01,18641775.951333784
2018-04-01,18748034.074256387
2018-05-01,19006756.944481127
2018-06-01,19362183.299342923
2018-07-01,19460930.43416957
2018-08-01,19597156.94720876
2018-09-01,19895033.732806332
2018-10-01,20072099.53302831
2018-11-01,19973746.24531647
2018-12-01,19758029.78586705
2019-01-01,19760005.588845637
2019-02-01,19933893.638027478
2019-03-01,20185060.697866626
2019-04-01,20370763.256286997
2019-05-01,20462431.69094029
2019-06-01,20626131.144467812
2019-07-01,20708635.669045683
2019-08-01,20569887.81006308
2019-09-01,20567830.82128207
2019-10-01,20707692.07086679
2019-11-01,20769815.14707939
2019-12-01,21203904.28365335
2020-01-01,21305683.024214886
2020-02-01,21297160.7510052
2020-03-01,21561245.544317663
2020-04-01,21733735.508672204
2020-05-01,21794589.968096487
2020-06-01,22134585.57159879
2020-07-01,22628186.829845447
2020-08-01,23248199.14898321
2020-09-01,24257170.992049083
2020-10-01,25040677.615092266
2020-11-01,25862011.840867292
2020-12-01,26110287.15453962
2021-01-01,26783932.563126743
2021-02-01,27461566.05697385
2021-03-01,28268936.09904888
2021-04-01,28695797.034144517
2021-05-01,29872324.71254444
2021-06-01,30051558.66081971
2021-07-01,30285960.818374105
2021-08-01,30485848.159775373
2021-09-01,30290738.73155281
2021-10-01,30484599.459434748
2021-11-01,30490696.379326634
2021-12-01,30755965.437826775
2022-01-01,31315724.008795224
2022-02-01,31888801.758156177
2022-03-01,32443666.908748094
2022-04-01,32901122.612161443
2022-05-01,33072208.449744683
2022-06-01,33267334.479598176
2022-07-01,33337195.88200533
2022-08-01,33103835.510831293
2022-09-01,32789349.073478397
2022-10-01,32471292.387465656
2022-11-01,32289453.15009585
2022-12-01,32434755.68927128
2023-01-01,32502868.676218748
2023-02-01,32483366.955013018
2023-03-01,32499608.638490524
2023-04-01,32190862.356424864
2023-05-01,31598550.48906665
2023-06-01,30988698.46462766
2023-07-01,30765579.835682344
2023-08-01,30722508.023912385
2023-09-01,30836181.303600863
2023-10-01,30990362.210118867
2023-11-01,31173205.34715857
2023-12-01,31403887.06672754
2024-01-01,31425869.787674252
2024-02-01,31262455.264778346
2024-03-01,31115521.725033887
